date,sku_id,location_id,units_sold,price,promo_flag
2024-01-01,SKU_0001,LOC_001,67,12.18,0
2024-01-02,SKU_0001,LOC_001,69,8.7,0
2024-01-03,SKU_0001,LOC_001,70,12.56,1
2024-01-04,SKU_0001,LOC_001,67,13.05,0
2024-01-05,SKU_0001,LOC_001,67,8.05,1
2024-01-06,SKU_0001,LOC_001,62,11.67,0
2024-01-07,SKU_0001,LOC_001,55,12.33,0
2024-01-08,SKU_0001,LOC_001,64,14.88,0
2024-01-09,SKU_0001,LOC_001,74,11.15,1
2024-01-10,SKU_0001,LOC_001,78,14.6,0
2024-01-11,SKU_0001,LOC_001,68,9.62,0
2024-01-12,SKU_0001,LOC_001,60,12.78,0
2024-01-13,SKU_0001,LOC_001,53,10.74,0
2024-01-14,SKU_0001,LOC_001,58,13.29,0
2024-01-15,SKU_0001,LOC_001,66,8.22,0
2024-01-16,SKU_0001,LOC_001,65,11.15,0
2024-01-17,SKU_0001,LOC_001,75,10.29,0
2024-01-18,SKU_0001,LOC_001,70,11.65,0
2024-01-19,SKU_0001,LOC_001,62,11.78,0
2024-01-20,SKU_0001,LOC_001,58,14.76,0
2024-01-21,SKU_0001,LOC_001,52,9.16,1
2024-01-22,SKU_0001,LOC_001,59,10.96,0
2024-01-23,SKU_0001,LOC_001,75,13.53,0
2024-01-24,SKU_0001,LOC_001,70,14.48,0
2024-01-25,SKU_0001,LOC_001,64,10.6,0
2024-01-26,SKU_0001,LOC_001,59,12.66,0
2024-01-27,SKU_0001,LOC_001,57,10.68,0
2024-01-28,SKU_0001,LOC_001,48,13.94,0
2024-01-29,SKU_0001,LOC_001,60,8.28,0
2024-01-30,SKU_0001,LOC_001,68,8.78,0
2024-01-31,SKU_0001,LOC_001,75,11.33,0
2024-02-01,SKU_0001,LOC_001,68,12.87,1
2024-02-02,SKU_0001,LOC_001,64,9.42,0
2024-02-03,SKU_0001,LOC_001,66,12.19,0
2024-02-04,SKU_0001,LOC_001,58,10.07,1
2024-02-05,SKU_0001,LOC_001,69,11.2,0
2024-02-06,SKU_0001,LOC_001,77,10.27,1
2024-02-07,SKU_0001,LOC_001,73,10.49,0
2024-02-08,SKU_0001,LOC_001,73,8.0,0
2024-02-09,SKU_0001,LOC_001,53,10.13,0
2024-02-10,SKU_0001,LOC_001,48,12.85,0
2024-02-11,SKU_0001,LOC_001,71,9.71,0
2024-02-12,SKU_0001,LOC_001,66,10.83,1
2024-02-13,SKU_0001,LOC_001,65,9.78,0
2024-02-14,SKU_0001,LOC_001,80,9.04,0
2024-02-15,SKU_0001,LOC_001,74,9.87,0
2024-02-16,SKU_0001,LOC_001,58,10.42,0
2024-02-17,SKU_0001,LOC_001,54,12.76,0
2024-02-18,SKU_0001,LOC_001,66,12.15,1
2024-02-19,SKU_0001,LOC_001,55,10.59,0
2024-02-20,SKU_0001,LOC_001,72,14.88,0
2024-02-21,SKU_0001,LOC_001,81,13.72,0
2024-02-22,SKU_0001,LOC_001,69,12.87,0
2024-02-23,SKU_0001,LOC_001,54,10.28,0
2024-02-24,SKU_0001,LOC_001,59,10.44,1
2024-02-25,SKU_0001,LOC_001,60,14.58,0
2024-02-26,SKU_0001,LOC_001,71,12.73,0
2024-02-27,SKU_0001,LOC_001,73,9.46,0
2024-02-28,SKU_0001,LOC_001,69,9.22,0
2024-02-29,SKU_0001,LOC_001,72,11.62,0
2024-03-01,SKU_0001,LOC_001,65,9.32,0
2024-03-02,SKU_0001,LOC_001,55,12.9,0
2024-03-03,SKU_0001,LOC_001,55,14.21,0
2024-03-04,SKU_0001,LOC_001,70,14.55,0
2024-03-05,SKU_0001,LOC_001,76,10.61,0
2024-03-06,SKU_0001,LOC_001,83,14.82,0
2024-03-07,SKU_0001,LOC_001,68,11.14,0
2024-03-08,SKU_0001,LOC_001,50,9.23,1
2024-03-09,SKU_0001,LOC_001,48,10.57,0
2024-03-10,SKU_0001,LOC_001,56,13.05,0
2024-03-11,SKU_0001,LOC_001,68,12.45,0
2024-03-12,SKU_0001,LOC_001,88,12.13,0
2024-03-13,SKU_0001,LOC_001,79,11.04,0
2024-03-14,SKU_0001,LOC_001,69,12.52,0
2024-03-15,SKU_0001,LOC_001,58,11.49,0
2024-03-16,SKU_0001,LOC_001,57,13.38,1
2024-03-17,SKU_0001,LOC_001,57,9.96,0
2024-03-18,SKU_0001,LOC_001,65,13.23,0
2024-03-19,SKU_0001,LOC_001,75,12.01,0
2024-03-20,SKU_0001,LOC_001,64,8.53,0
2024-03-21,SKU_0001,LOC_001,66,11.4,0
2024-03-22,SKU_0001,LOC_001,56,10.76,0
2024-03-23,SKU_0001,LOC_001,58,10.51,0
2024-03-24,SKU_0001,LOC_001,51,10.07,0
2024-03-25,SKU_0001,LOC_001,67,10.08,0
2024-03-26,SKU_0001,LOC_001,81,9.79,0
2024-03-27,SKU_0001,LOC_001,68,8.5,0
2024-03-28,SKU_0001,LOC_001,71,8.36,0
2024-03-29,SKU_0001,LOC_001,60,11.07,0
2024-03-30,SKU_0001,LOC_001,53,10.3,0
2024-03-31,SKU_0001,LOC_001,54,8.27,0
2024-01-01,SKU_0001,LOC_002,61,10.29,0
2024-01-02,SKU_0001,LOC_002,72,9.36,0
2024-01-03,SKU_0001,LOC_002,67,12.9,1
2024-01-04,SKU_0001,LOC_002,56,13.21,0
2024-01-05,SKU_0001,LOC_002,44,9.29,1
2024-01-06,SKU_0001,LOC_002,58,8.41,0
2024-01-07,SKU_0001,LOC_002,47,11.1,0
2024-01-08,SKU_0001,LOC_002,59,11.62,0
2024-01-09,SKU_0001,LOC_002,69,11.05,0
2024-01-10,SKU_0001,LOC_002,69,9.11,1
2024-01-11,SKU_0001,LOC_002,60,10.39,1
2024-01-12,SKU_0001,LOC_002,53,14.86,0
2024-01-13,SKU_0001,LOC_002,46,8.12,0
2024-01-14,SKU_0001,LOC_002,48,11.25,0
2024-01-15,SKU_0001,LOC_002,64,8.34,0
2024-01-16,SKU_0001,LOC_002,65,8.11,0
2024-01-17,SKU_0001,LOC_002,71,11.51,0
2024-01-18,SKU_0001,LOC_002,68,14.61,0
2024-01-19,SKU_0001,LOC_002,62,14.07,0
2024-01-20,SKU_0001,LOC_002,52,12.01,1
2024-01-21,SKU_0001,LOC_002,56,13.68,0
2024-01-22,SKU_0001,LOC_002,64,12.56,0
2024-01-23,SKU_0001,LOC_002,68,9.92,0
2024-01-24,SKU_0001,LOC_002,66,12.33,0
2024-01-25,SKU_0001,LOC_002,62,12.59,0
2024-01-26,SKU_0001,LOC_002,48,9.82,0
2024-01-27,SKU_0001,LOC_002,55,12.85,0
2024-01-28,SKU_0001,LOC_002,53,11.84,0
2024-01-29,SKU_0001,LOC_002,58,11.98,0
2024-01-30,SKU_0001,LOC_002,63,9.75,0
2024-01-31,SKU_0001,LOC_002,70,14.07,0
2024-02-01,SKU_0001,LOC_002,67,13.18,0
2024-02-02,SKU_0001,LOC_002,48,10.64,0
2024-02-03,SKU_0001,LOC_002,36,10.08,1
2024-02-04,SKU_0001,LOC_002,50,8.37,0
2024-02-05,SKU_0001,LOC_002,56,14.7,0
2024-02-06,SKU_0001,LOC_002,71,11.38,0
2024-02-07,SKU_0001,LOC_002,74,9.49,0
2024-02-08,SKU_0001,LOC_002,73,13.47,1
2024-02-09,SKU_0001,LOC_002,56,12.94,0
2024-02-10,SKU_0001,LOC_002,57,12.82,0
2024-02-11,SKU_0001,LOC_002,51,10.98,0
2024-02-12,SKU_0001,LOC_002,59,10.78,0
2024-02-13,SKU_0001,LOC_002,66,9.63,0
2024-02-14,SKU_0001,LOC_002,62,14.04,0
2024-02-15,SKU_0001,LOC_002,64,12.14,0
2024-02-16,SKU_0001,LOC_002,53,12.96,0
2024-02-17,SKU_0001,LOC_002,56,9.74,0
2024-02-18,SKU_0001,LOC_002,46,11.04,0
2024-02-19,SKU_0001,LOC_002,66,13.19,0
2024-02-20,SKU_0001,LOC_002,57,13.76,0
2024-02-21,SKU_0001,LOC_002,63,10.8,0
2024-02-22,SKU_0001,LOC_002,67,8.58,0
2024-02-23,SKU_0001,LOC_002,61,14.85,0
2024-02-24,SKU_0001,LOC_002,47,10.26,1
2024-02-25,SKU_0001,LOC_002,55,8.53,0
2024-02-26,SKU_0001,LOC_002,53,9.52,0
2024-02-27,SKU_0001,LOC_002,73,14.41,0
2024-02-28,SKU_0001,LOC_002,65,8.41,0
2024-02-29,SKU_0001,LOC_002,61,9.19,0
2024-03-01,SKU_0001,LOC_002,50,10.72,0
2024-03-02,SKU_0001,LOC_002,45,9.82,0
